what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1395076549939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395076561754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1395076584196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395076600370
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAutomatically",1395076606241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076608148
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1395076610263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076610273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076616554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076768211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076768239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076769826
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395076772029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076773962
closed,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1395076775323
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395076775565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395076775565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395076775575
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775594
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775617
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775641
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775663
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775685
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775708
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775735
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076775762
